Domain	Function	Head	Negator	Aux	Aux_stem	Subj	Subj_stem	Role	Utterance	Age
theory of mind	epistemic	remember	n't	ca	can	I	I	Father	I ca n't remember what it was	38
theory of mind	epistemic	know	n't	does	do	she	she	Father	she does n't know where she is	38
theory of mind	epistemic	know	n't	do	do	I	I	Father	I do n't know what 's happened	38
theory of mind	epistemic	know	n't	do	do	I	I	Father	I do n't know what the heck kind of flower that is	38
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	38
theory of mind	epistemic	know	n't	do	do	I	I	Father	well I do n't know	38
theory of mind	epistemic	know	n't	did	do	I	I	Target_Child	I did n't know there was money in here	38
theory of mind	epistemic	think	n't	do	do	I	I	Target_Child	oh I do n't think so	38
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know if there is blue	28
theory of mind	epistemic	know	n't	do	do	I	I	Mother	but I do n't know if there is a scarecrow in Noddy	28
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know at the moment	28
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think he 's going to say no please	28
theory of mind	epistemic	know	n't	do	do	NONE	NONE	Mother	do n't know what you want me to do really	28
theory of mind	epistemic	think	n't	do	do	I	I	Mother	and I did n't get a trick I do n't think	28
theory of mind	epistemic	know	n't	does	do	Caroline	Caroline	Mother	Caroline does n't know	28
theory of mind	epistemic	know	n't	do	do	NONE	NONE	Mother	do n't know why my teeth are falling out	28
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think he is	28
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	59
theory of mind	epistemic	know	n't	do	do	you	you	Mother	you do n't know	59
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	59
theory of mind	epistemic	know	n't	do	do	you	you	Mother	yeah you do n't know	59
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	59
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	59
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know we haf ta find it	24
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know where the babys cup is	24
theory of mind	epistemic	think	n't	ca	can	this	this	Mother	this is some kind of bird but I ca n't think of the name of this bird	24
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think those shoes match	24
