Domain	Function	Head	Negator	Aux	Aux_stem	Subj	Subj_stem	Role	Utterance	Age
learning	labeling	o	n't	adj	interesting	this	this	Father	this is n't interesting	38
learning	labeling	o	not	adj	bad	it	it	Target_Child	it 's not bad	38
learning	labeling	o	not	n	Mr_Plod	that	that	Target_Child	that 's not Mr_Plod	28
learning	labeling	o	not	pro	it	that	that	Mother	that 's not much use to do the shopping with is it	28
learning	labeling	o	no	adj	good	that	that	Mother	that 's no good at all is it	28
learning	labeling	o	no	adj	good	that	that	Mother	that 's no good at all	28
learning	labeling	be	not	n	food	it	it	Mother	it 's pretend okay it 's not real food	24
learning	labeling	o	n't	n	part	NONE	NONE	Mother	look i n't part of the zebra	24
learning	labeling	o	not	n	bee	it	it	Mother	it 's not a bee	24
learning	labeling	pity	n't	n	Thomas	this	this	Mother	it 's a pity this is n't on video Thomas	56
learning	labeling	o	n't	n	Christmas	it	it	Mother	actually it is n't Christmas for quite a while yet is it	56
learning	labeling	o	not	adj	nice	that	that	Mother	that 's not nice	56
learning	labeling	o	not	n	toy	that	that	Mother	no see that 's not a toy	12
learning	labeling	o	not	adj	fun	that	that	Mother	that 's not funny	14
learning	labeling	o	not	n	idea	that	that	Father	that 's not a good idea	39
learning	labeling	o	not	n	back	that	that	Target_Child	that 's not the back	39
learning	labeling	o	not	n	back	that	that	Target_Child	that 's not the back	39
learning	labeling	cover	not	n	trailer	what	what	Mother	and they 've got sort of open truck what 's not covered up because it 's not a flat trailer	57
learning	labeling	o	not	n	cab	it	it	Mother	no it 's not a cab like that	57
learning	labeling	o	n't	n	mark	it	it	Mother	no it is n't a scratch mark	57
learning	labeling	o	not	n	wasp	it	it	Mother	oh it 's not a wasp it 's a fly	57
learning	labeling	o	not	n	wasp	it	it	Mother	it 's not a wasp	57
learning	labeling	believe	not	n	cross	I	I	Mother	I ca n't believe she 's not cross with me	57
learning	labeling	get	not	adj	muck	she	she	Mother	actually it 's not mucky it 's just she 's got in a knot has n't she	57
learning	labeling	o	not	adj	real	it	it	Target_Child	it 's not real	57
learning	labeling	o	not	adj	big	gap	gap	Mother	the gap 's not big enough for her	57
learning	labeling	o	not	adj	nice	that	that	Mother	that 's not nice is it	57
learning	labeling	o	not	n	humidifier	it	it	Mother	it 's not a humidifier it 's a dehumidifier	57
learning	labeling	get	not	n	litter	it	it	Mother	and so we put that plastic box on your radiator and it 's got special ingredients inside that look a little bit like cat litter but it 's not cat litter	57
learning	labeling	o	not	n	litter	it	it	Mother	and it 's not cat litter	57
learning	labeling	jump	n't	adj	own	he	he	Mother	he you mean he jumped in a truck very much like his own but it was n't his own	57
learning	labeling	o	not	adj	real	these	these	Target_Child	these are not real	61
learning	labeling	o	not	adj	ready	I	I	Target_Child	I 'm not ready	61
learning	labeling	o	not	adj	ready	I	I	Target_Child	nothing I 'm not ready	61
learning	labeling	o	not	n	paint	that	that	Mother	that 's not finger paint	49
learning	labeling	o	not	n	fingerpaint	it	it	Mother	no it 's not fingerpaint	49
learning	labeling	o	n't	n	black	NONE	NONE	Mother	that was n't black	49
learning	labeling	o	not	adj	sure	I	I	Mother	no I 'm not quite sure	49
learning	labeling	o	not	pro	yours	that	that	Target_Child	no that 's not yours	49
learning	labeling	o	not	n	word	it	it	Father	it 's not a word	65
