Domain	Function	Head	Negator	Aux	Aux_stem	Subj	Subj_stem	Role	Utterance	Age
perception	existence	tulip	not	_	_	_	_	Father	I thought it was a tulip when I first saw it but it 's sure not a tulip	38
perception	existence	part	not	_	_	_	_	Father	you probably just haf ta turn the red part and not the yellow part	38
perception	existence	steeringwheel	not	_	_	_	_	Father	the hub and not the steeringwheel	38
perception	possession	will	not	_	_	_	_	Target_Child	so you wo n't have trouble with it	38
perception	possession	will	not	_	_	_	_	Father	pretty soon my car wo n't have any wheels	38
perception	possession	do	not	_	_	_	_	Father	it 's too bad we do n't have more time with this toy	38
perception	possession	do	not	_	_	_	_	Target_Child	we do n't have any more we do n't have any more left	38
perception	possession	do	not	_	_	_	_	Target_Child	we do n't have any more we do n't have any more left	38
perception	possession	do	not	_	_	_	_	Target_Child	we do n't have any more left	38
perception	existence	Martin	no	_	_	_	_	Target_Child	no Martin better yet	28
perception	existence	cafe	not	_	_	_	_	Target_Child	not the cafe	28
perception	existence	drink	not	_	_	_	_	Mother	not a drink	28
perception	existence	one	not	_	_	_	_	Target_Child	not this one	28
perception	existence	drive	no	_	_	_	_	Target_Child	no drive	28
perception	existence	drive	no	_	_	_	_	Target_Child	no drive	28
perception	existence	mine	no	_	_	_	_	Target_Child	no no mine	18
perception	possession	mine	no	_	_	_	_	Target_Child	no no mine	18
perception	existence	well	no	_	_	_	_	Mother	no okay well I want the chef hat can I have the chef hat	24
perception	existence	food	not	_	_	_	_	Mother	not real food pretend	24
perception	existence	pizza	no	_	_	_	_	Mother	no pizzas go in there	24
perception	existence	mouth	no	_	_	_	_	Mother	no not in your mouth	24
perception	existence	mouth	not	_	_	_	_	Mother	not in your mouth	24
perception	possession	do	not	_	_	_	_	Mother	do n't have any plates	24
perception	existence	part	no	_	_	_	_	Target_Child	no not that part	24
perception	existence	what	no	_	_	_	_	Mother	what oh no what	24
perception	existence	it	not	_	_	_	_	Mother	but the museum was shut was n't it	56
perception	existence	me	not	_	_	_	_	Target_Child	not me	56
perception	existence	tinsel	not	_	_	_	_	Mother	blue tinsel that 's pretty is n't it	56
perception	existence	lunch	not	_	_	_	_	Mother	not a packed lunch	56
perception	existence	ear	not	_	_	_	_	Mother	here not ear	56
perception	existence	tomato	not	_	_	_	_	Target_Child	not tomato sauce	56
perception	existence	Thomas	no	_	_	_	_	Father	I said no Thomas	56
perception	existence	it	not	_	_	_	_	Mother	cooks haf ta do is n't it	56
perception	existence	accommodation	no	_	_	_	_	Mother	no accommodation	56
perception	existence	accommodation	no	_	_	_	_	Mother	sing a song for no accommodation or	56
perception	existence	accommodation	no	_	_	_	_	Target_Child	no accommodation	56
perception	existence	accommodation	no	_	_	_	_	Mother	no accommodation	56
perception	existence	place	no	_	_	_	_	Mother	no place to stay	56
perception	existence	place	no	_	_	_	_	Target_Child	no place to stay	56
perception	existence	accommodation	no	_	_	_	_	Mother	no accommodation no place to stay	56
perception	existence	place	no	_	_	_	_	Mother	no accommodation no place to stay	56
perception	existence	accommodation	no	_	_	_	_	Mother	no accommodation no place to stay	56
perception	existence	place	no	_	_	_	_	Mother	no accommodation no place to stay	56
perception	existence	champagne	no	_	_	_	_	Mother	and there 's no champagne left	56
perception	existence	you	not	_	_	_	_	Target_Child	Mum you not all the tea through there	56
perception	existence	sir	no	_	_	_	_	Mother	no sir	12
perception	existence	baby	no	_	_	_	_	Mother	no baby in the bus	12
perception	existence	baby	no	_	_	_	_	Mother	no baby in the bus	12
perception	existence	that	no	_	_	_	_	Mother	no see that 's not a toy	12
perception	possession	do	not	_	_	_	_	Mother	you do n't have cars	14
perception	possession	do	not	_	_	_	_	Mother	you do n't have one of these either	14
perception	existence	footballs	no	_	_	_	_	Mother	no footballs	14
perception	existence	music	no	_	_	_	_	Mother	there 's no music though	14
perception	existence	custard	no	_	_	_	_	Target_Child	why is there no tubby custard	38
perception	existence	baby	no	_	_	_	_	Mother	there 's no baby down here	39
perception	existence	that	not	_	_	_	_	Target_Child	not that we made	39
perception	existence	me	not	_	_	_	_	Mother	not me	39
