"id","gloss","stem","actual_phonology","model_phonology","type","language","num_morphemes","num_tokens","utterance_order","corpus_name","part_of_speech","speaker_code","speaker_name","speaker_role","target_child_name","target_child_age","target_child_sex","media_start","media_end","media_unit","collection_name","collection_id","corpus_id","speaker_id","target_child_id","transcript_id","clean_utterances","bin","dont_pos","condensed_pos","do"
290410,"it doesn't look like mine but it writes","it do look like mine but it write","",NA,"declarative","eng",11,8,35,"Valian","pro:per mod v conj n conj pro:per v","MOT",NA,"Mother",NA,25.0990780098154,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3306,"it doesn't look like mine but it writes","25-26","pro:per doesn't v conj n conj pro:per v","n mod v conj n conj n v","doesn't"
292449,"she doesn't know any of them until you come to some pictures in the back","she do know any of them until you come to some picture in the back","",NA,"declarative","eng",18,15,131,"Valian","pro:sub mod v qn prep pro:obj conj pro:per v prep qn n prep det:art n","MOT",NA,"Mother",NA,27.4276679192591,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3315,"she doesn't know any of them until you come to some pictures in the back","27-28","pro:sub doesn't v qn prep pro:obj conj pro:per v prep qn n prep det:art n","n mod v qn prep n conj n v prep qn n prep det n","doesn't"
292519,"better sit him down so he doesn't get hurt","good sit him down so he do get hurt","",NA,"declarative","eng",13,9,46,"Valian","adv v pro:obj adv conj pro:sub mod v part","MOT",NA,"Mother",NA,27.4933776874268,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3317,"better sit him down so he doesn't get hurt","27-28","adv v pro:obj adv conj pro:sub doesn't v part","adv v n adv conj n mod v part","doesn't"
293715,"that doesn't look like a horse to me","that do look like a horse to me","",NA,"declarative","eng",10,8,245,"Valian","pro:dem mod v conj det:art n prep pro:obj","MOT",NA,"Mother",NA,25.3947719665702,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3309,"that doesn't look like a horse to me","25-26","pro:dem doesn't v conj det:art n prep pro:obj","n mod v conj det n prep n","doesn't"
295347,"it doesn't work really well on carpets does it","it do work really well on carpet do it","",NA,"question","eng",13,9,83,"Valian","pro:per mod v adv adv prep n mod pro:per","MOT",NA,"Mother",NA,31.9205733177273,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3321,"it doesn't work really well on carpets does it","31-32","pro:per doesn't v adv adv prep n does pro:per","n mod v adv adv prep n mod n","doesn't"
295466,"that doesn't fit","that do fit","",NA,"declarative","eng",6,3,122,"Valian","pro:dem mod v","MOT",NA,"Mother",NA,30.7234234789215,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3318,"that doesn't fit","30-31","pro:dem doesn't v","n mod v","doesn't"
296739,"we're gonna ask Santa Claus for some new train tracks because this doesn't go very far we don't have bridges and tunnels or anything","we go ask Santa Claus for some new train track because this do go very far we do have bridge and tunnel or anything","",NA,"declarative","eng",33,24,15,"Valian","pro:sub part v n:prop n:prop prep qn adj n n conj det:dem mod v adv adj pro:sub mod v n coord n coord pro:indef","MOT",NA,"Mother",NA,32.0006570976817,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3324,"we're gonna ask Santa Claus for some new train tracks because this doesn't go very far we don't have bridges and tunnels or anything","32-33","pro:sub part v n:prop n:prop prep qn adj n n conj det:dem doesn't v adv adj pro:sub don't v n coord n coord pro:indef","n part v n n prep qn adj n n conj det mod v adv adj n mod v n coord n coord n","doesn't"
297077,"she doesn't really know how to count when she counts but she knows that some numbers are bigger","she do really know how to count when she count but she know that some number be big","",NA,"declarative","eng",25,18,445,"Valian","pro:sub mod adv v pro:int prep n conj pro:sub n conj pro:sub v comp qn n cop adj","MOT",NA,"Mother",NA,25.3947719665702,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3309,"she doesn't really know how to count when she counts but she knows that some numbers are bigger","25-26","pro:sub doesn't adv v pro:int prep n conj pro:sub n conj pro:sub v comp qn n cop adj","n mod adv v n prep n conj n n conj n v comp qn n cop adj","doesn't"
297643,"no that doesn't push that's a crayon","no that do push that a crayon","",NA,"declarative","eng",10,7,27,"Valian","co adv mod n pro:dem det:art n","MOT",NA,"Mother",NA,30.7891332470893,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3322,"no that doesn't push that's a crayon","30-31","co adv doesn't n pro:dem det:art n","no:co adv mod n n det n","doesn't"
297677,"he doesn't have a long enough nose to be a Dumbo","he do have a long enough nose to be a Dumbo","",NA,"declarative","eng",13,11,323,"Valian","pro:sub mod v det:art adj adj n inf cop det:art n:prop","MOT",NA,"Mother",NA,25.6904659233249,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3316,"he doesn't have a long enough nose to be a Dumbo","25-26","pro:sub doesn't v det:art adj adj n inf cop det:art n:prop","n mod v det adj adj n inf cop det n","doesn't"
