Role,Age,Feature,Mean,CI25,CI975,Num_full_sentence,Num_of_sentence
Target_Child,13,Duplicate,0.0,0.0,0.0,2,390
Target_Child,13,Duplicate_annotation,0.0,0.0,0.0,2,390
Target_Child,13,Pre,0.0,0.0,0.0,2,390
Target_Child,13,Pre_annotation,0.0,0.0,0.0,2,390
Target_Child,13,Post,0.0,0.0,0.0,2,390
Target_Child,13,Post_annotation,0.0,0.0,0.0,2,390
Target_Child,13,Inter,0.0,0.0,0.0,2,390
Target_Child,13,Inter_annotation,0.0,0.0,0.0,2,390
Target_Child,23,Duplicate,0.060257,0.0,0.18,1631,13771
Target_Child,23,Duplicate_annotation,0.060257,0.0,0.18,1631,13771
Target_Child,23,Pre,0.491267,0.18,0.86,1631,13771
Target_Child,23,Pre_annotation,0.430372,0.12,0.8,1631,13771
Target_Child,23,Post,0.549462,0.25,0.92,1631,13771
Target_Child,23,Post_annotation,0.245893,0.06,0.49,1631,13771
Target_Child,23,Inter,6.682377,5.52,7.97,1631,13771
Target_Child,23,Inter_annotation,6.376024,5.21,7.6,1631,13771
Target_Child,32,Duplicate,1.284226,0.88,1.75,3198,18579
Target_Child,32,Duplicate_annotation,0.689458,0.41,1.0,3198,18579
Target_Child,32,Pre,3.161406,2.5,3.85,3198,18579
Target_Child,32,Pre_annotation,2.220137,1.69,2.75,3198,18579
Target_Child,32,Post,0.656926,0.38,0.97,3198,18579
Target_Child,32,Post_annotation,0.157288,0.03,0.31,3198,18579
Target_Child,32,Inter,12.566601,11.41,13.73,3198,18579
Target_Child,32,Inter_annotation,12.410208,11.26,13.57,3198,18579
Target_Child,57,Duplicate,1.981631,1.75,2.22,16356,76617
Target_Child,57,Duplicate_annotation,0.770886,0.64,0.91,16356,76617
Target_Child,57,Pre,3.656277,3.34,3.97,16356,76617
Target_Child,57,Pre_annotation,2.714429,2.46,2.97,16356,76617
Target_Child,57,Post,2.391558,2.15,2.64,16356,76617
Target_Child,57,Post_annotation,0.703016,0.58,0.84,16356,76617
Target_Child,57,Inter,13.71912,13.2,14.26,16356,76617
Target_Child,57,Inter_annotation,13.401076,12.89,13.94,16356,76617
Target_Child,42,Duplicate,1.14903,0.69,1.61,2169,8915
Target_Child,42,Duplicate_annotation,0.597423,0.28,0.97,2169,8915
Target_Child,42,Pre,3.452241,2.67,4.29,2169,8915
Target_Child,42,Pre_annotation,1.935539,1.34,2.54,2169,8915
Target_Child,42,Post,1.242892,0.78,1.75,2169,8915
Target_Child,42,Post_annotation,0.228184,0.05,0.46,2169,8915
Target_Child,42,Inter,12.776788,11.39,14.25,2169,8915
Target_Child,42,Inter_annotation,12.639709,11.25,14.11,2169,8915
Target_Child,51,Duplicate,1.675566,1.08,2.37,1853,8180
Target_Child,51,Duplicate_annotation,0.865422,0.43,1.35,1853,8180
Target_Child,51,Pre,4.583584,3.62,5.61,1853,8180
