"","id","speaker_id","utterance_order","transcript_id","corpus_id","gloss","num_tokens","stem","part_of_speech","speaker_code","speaker_name","speaker_role","target_child_id","target_child_age","target_child_name","target_child_sex","type","media_end","media_start","media_unit","collection_id","collection_name","num_morphemes","language","corpus_name","can","do","n_types","type_token_ratio"
"1",1030449,2964,5,3331,36,"no Eve play bouillon cube",5,"no Eve play bouillon cube","co n:prop n n n","CHI","Eve","Target_Child",2964,20.000410686051,"Eve","female","declarative",NA,NA,NA,3,"Eng-NA",5,"eng","Brown",FALSE,FALSE,5,1
"2",1033760,2964,223,3331,36,"no a top",3,"no a top","qn det:art n","CHI","Eve","Target_Child",2964,20.000410686051,"Eve","female","declarative",NA,NA,NA,3,"Eng-NA",3,"eng","Brown",FALSE,FALSE,3,1
"3",1037091,2964,403,3331,36,"not again",2,"not again","neg adv","CHI","Eve","Target_Child",2964,20.000410686051,"Eve","female","declarative",NA,NA,NA,3,"Eng-NA",2,"eng","Brown",FALSE,FALSE,2,1
"4",1039688,2964,534,3331,36,"ready yet not ready yet",5,"ready yet not ready yet","v adv neg v adv","CHI","Eve","Target_Child",2964,20.000410686051,"Eve","female","declarative",NA,NA,NA,3,"Eng-NA",5,"eng","Brown",FALSE,FALSE,3,0.6
"5",1510585,3259,178,4144,47,"can't find bunny rabbit",4,"can find bunny rabbit","mod v n n","CHI",NA,"Target_Child",3259,20.000410686051,NA,NA,"declarative",569.413,560.063,"s",3,"Eng-NA",5,"eng","McCune",TRUE,FALSE,4,1
"6",1510910,3259,191,4144,47,"not on this cover",4,"not on this cover","neg adv det:dem n","CHI",NA,"Target_Child",3259,20.000410686051,NA,NA,"declarative",596.846,593.603,"s",3,"Eng-NA",4,"eng","McCune",FALSE,FALSE,4,1
"7",1511181,3259,205,4144,47,"don't have shoe on",4,"do have shoe on","mod v n adv","CHI",NA,"Target_Child",3259,20.000410686051,NA,NA,"declarative",618.603,614.165,"s",3,"Eng-NA",5,"eng","McCune",FALSE,TRUE,4,1
"8",1514165,3259,338,4144,47,"have these toys no",4,"have these toy no","aux det:dem n co","CHI",NA,"Target_Child",3259,20.000410686051,NA,NA,"declarative",1004.476,1000.243,"s",3,"Eng-NA",5,"eng","McCune",FALSE,FALSE,4,1
"9",1515970,3259,414,4144,47,"don't drink that no",4,"do drink that no","mod n pro:rel co","CHI",NA,"Target_Child",3259,20.000410686051,NA,NA,"declarative",1175.405,1170.601,"s",3,"Eng-NA",5,"eng","McCune",FALSE,TRUE,4,1
"10",1516437,3259,430,4144,47,"don't want that",3,"do want that","mod v pro:dem","CHI",NA,"Target_Child",3259,20.000410686051,NA,NA,"declarative",1215.196,1212.785,"s",3,"Eng-NA",4,"eng","McCune",FALSE,TRUE,3,1
"11",1517319,3259,469,4144,47,"no thanks",2,"no thanks","co co","CHI",NA,"Target_Child",3259,20.000410686051,NA,NA,"declarative",1317.565,1315.918,"s",3,"Eng-NA",2,"eng","McCune",FALSE,FALSE,2,1
"12",1518026,3259,496,4144,47,"no thanks full",3,"no thank full","co v adj","CHI",NA,"Target_Child",3259,20.000410686051,NA,NA,"declarative",1395.973,1390.408,"s",3,"Eng-NA",4,"eng","McCune",FALSE,FALSE,3,1
"13",1518083,3259,498,4144,47,"no thanks full",3,"no thank full","co v adj","CHI",NA,"Target_Child",3259,20.000410686051,NA,NA,"declarative",1401.266,1397.156,"s",3,"Eng-NA",4,"eng","McCune",FALSE,FALSE,3,1
"14",1520468,3259,596,4144,47,"not yet baby",3,"not yet baby","neg adv n","CHI",NA,"Target_Child",3259,20.000410686051,NA,NA,"declarative",1693.555,1689.353,"s",3,"Eng-NA",3,"eng","McCune",FALSE,FALSE,3,1
"15",1520520,3259,598,4144,47,"not yet",2,"not yet","neg adv","CHI",NA,"Target_Child",3259,20.000410686051,NA,NA,"declarative",1697.413,1693.985,"s",3,"Eng-NA",2,"eng","McCune",FALSE,FALSE,2,1
"16",1520545,3259,599,4144,47,"not yet baby",3,"not yet baby","neg adv n","CHI",NA,"Target_Child",3259,20.000410686051,NA,NA,"declarative",1700.868,1697.413,"s",3,"Eng-NA",3,"eng","McCune",FALSE,FALSE,3,1
"17",2968350,4709,140,6721,65,"no xxx",2,"no","co","CHI","Betty","Target_Child",4709,20.000410686051,"Betty","female","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","Bates",FALSE,FALSE,2,1
"18",2970918,4731,85,6732,65,"can't",1,"can","mod","CHI","Keith","Target_Child",4731,20.000410686051,"Keith","male","declarative",NA,NA,NA,3,"Eng-NA",2,"eng","Bates",TRUE,FALSE,1,1
"19",2970926,4731,86,6732,65,"I can't open",3,"I can open","pro:sub mod v","CHI","Keith","Target_Child",4731,20.000410686051,"Keith","male","declarative",NA,NA,NA,3,"Eng-NA",4,"eng","Bates",TRUE,FALSE,3,1
"20",2970944,4731,87,6732,65,"no I can't",3,"no I can","co pro:sub mod","CHI","Keith","Target_Child",4731,20.000410686051,"Keith","male","declarative",NA,NA,NA,3,"Eng-NA",4,"eng","Bates",TRUE,FALSE,3,1
"21",2970946,4735,66,6734,65,"I don't know",3,"I do know","pro:sub mod v","CHI","Linda","Target_Child",4735,20.000410686051,"Linda","female","imperative_emphatic",NA,NA,NA,3,"Eng-NA",4,"eng","Bates",FALSE,TRUE,3,1
"22",2971199,4735,77,6734,65,"yyy this no",3,"this no","pro:dem co","CHI","Linda","Target_Child",4735,20.000410686051,"Linda","female","declarative",NA,NA,NA,3,"Eng-NA",2,"eng","Bates",FALSE,FALSE,3,1
"23",2971569,4744,60,6738,65,"no no no",3,"no no no","co co co","CHI","Paula","Target_Child",4744,20.000410686051,"Paula","female","declarative",NA,NA,NA,3,"Eng-NA",3,"eng","Bates",FALSE,FALSE,1,0.333333333333333
"24",2971825,4748,47,6740,65,"no see",2,"no see","co co","CHI","Ruth","Target_Child",4748,20.000410686051,"Ruth","female","imperative_emphatic",NA,NA,NA,3,"Eng-NA",2,"eng","Bates",FALSE,FALSE,2,1
"25",2972827,4748,112,6740,65,"uh no",2,"no","co","CHI","Ruth","Target_Child",4748,20.000410686051,"Ruth","female","imperative_emphatic",NA,NA,NA,3,"Eng-NA",1,"eng","Bates",FALSE,FALSE,2,1
"26",2974177,4759,85,6745,65,"no yyy",2,"no","co","CHI","Wanda","Target_Child",4759,20.000410686051,"Wanda","female","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","Bates",FALSE,FALSE,2,1
"27",861600,2476,243,2866,30,"no no no",3,"no no no","co co co","CHI","Andrew","Target_Child",2476,20.0332655701349,"Andrew","male","declarative",NA,NA,NA,3,"Eng-NA",3,"eng","NewEngland",FALSE,FALSE,1,0.333333333333333
